,Date,Country,Death Confirmed,Outbreak Case,Year,Month
440,2015-02-02,Mali,6.0,8.0,2015,2
441,2015-02-02,Nigeria,8.0,20.0,2015,2
442,2015-02-02,Senegal,0.0,1.0,2015,2
443,2015-02-02,Sierra Leone,3274.0,10707.0,2015,2
444,2015-02-02,Spain,0.0,1.0,2015,2
445,2015-02-02,United Kingdom,0.0,1.0,2015,2
446,2015-02-02,United States of America,1.0,4.0,2015,2
447,2015-02-03,Guinea,1944.0,2975.0,2015,2
448,2015-02-03,Liberia,3739.0,8729.0,2015,2
449,2015-02-03,Mali,6.0,8.0,2015,2
450,2015-02-03,Nigeria,8.0,20.0,2015,2
451,2015-02-03,Senegal,0.0,1.0,2015,2
452,2015-02-03,Sierra Leone,3276.0,10740.0,2015,2
453,2015-02-03,Spain,0.0,1.0,2015,2
454,2015-02-03,United Kingdom,0.0,1.0,2015,2
455,2015-02-03,United States of America,1.0,4.0,2015,2
456,2015-02-04,Guinea,1944.0,2975.0,2015,2
457,2015-02-04,Liberia,3746.0,8745.0,2015,2
458,2015-02-04,Mali,6.0,8.0,2015,2
459,2015-02-04,Nigeria,8.0,20.0,2015,2
460,2015-02-04,Senegal,0.0,1.0,2015,2
461,2015-02-04,Sierra Leone,3276.0,10740.0,2015,2
462,2015-02-04,Spain,0.0,1.0,2015,2
463,2015-02-04,United Kingdom,0.0,1.0,2015,2
464,2015-02-04,United States of America,1.0,4.0,2015,2
465,2015-02-05,Guinea,1947.0,2986.0,2015,2
466,2015-02-05,Liberia,3746.0,8745.0,2015,2
467,2015-02-05,Mali,6.0,8.0,2015,2
468,2015-02-05,Nigeria,8.0,20.0,2015,2
469,2015-02-05,Senegal,0.0,1.0,2015,2
470,2015-02-05,Sierra Leone,3286.0,10756.0,2015,2
471,2015-02-05,Spain,0.0,1.0,2015,2
472,2015-02-05,United Kingdom,0.0,1.0,2015,2
473,2015-02-05,United States of America,1.0,4.0,2015,2
474,2015-02-06,Guinea,1957.0,2988.0,2015,2
475,2015-02-06,Liberia,3746.0,8745.0,2015,2
476,2015-02-06,Mali,6.0,8.0,2015,2
477,2015-02-06,Nigeria,8.0,20.0,2015,2
478,2015-02-06,Senegal,0.0,1.0,2015,2
479,2015-02-06,Sierra Leone,3301.0,10792.0,2015,2
480,2015-02-06,Spain,0.0,1.0,2015,2
481,2015-02-06,United Kingdom,0.0,1.0,2015,2
482,2015-02-06,United States of America,1.0,4.0,2015,2
483,2015-02-10,Guinea,1995.0,3044.0,2015,2
484,2015-02-10,Liberia,3826.0,8881.0,2015,2
485,2015-02-10,Mali,6.0,8.0,2015,2
486,2015-02-10,Nigeria,8.0,20.0,2015,2
487,2015-02-10,Senegal,0.0,1.0,2015,2
488,2015-02-10,Sierra Leone,3341.0,10934.0,2015,2
489,2015-02-10,Spain,0.0,1.0,2015,2
